0,,,,,,,,,
650,8.38,23.5,140.1,55,285.1,145.0,1.97,70.1,215.1
700,9.02,23.6,139.7,63,276.7,137.0,2.02,69.9,206.9
750,9.66,23.6,138.7,67,271.7,133.0,2.04,69.4,202.4
800,10.31,23.7,138.3,71,267.3,129.0,2.07,69.2,198.2
850,10.95,23.8,137.9,77,260.9,123.0,2.12,69.0,192.0
900,11.60,24.0,138.1,81,257.1,119.0,2.16,69.0,188.0
950,12.24,24.0,137.1,86,251.1,114.0,2.20,68.5,182.5
1000,12.88,24.5,138.9,90,248.9,110.0,2.26,69.5,179.5
1050,13.53,24.5,137.9,96,241.9,104.0,2.33,68.9,172.9
1100,14.17,24.7,138.0,104,234.0,96.0,2.44,69.0,165.0
1150,14.82,24.2,134.2,106,228.2,94.0,2.43,67.1,161.1
1200,15.46,24.1,132.6,108,224.6,92.0,2.44,66.3,158.3
0,,,,,,,,,
50,,,,,,,,,
100,1.30,21.5,138.1,6,432.1,294.0,1.47,69.0,363.0
150,1.94,25.0,159.5,14,445.5,286.0,1.56,79.7,365.7
200,2.59,26.6,168.6,17,451.6,283.0,1.60,84.3,367.3
250,3.24,28.2,177.5,27,450.5,273.0,1.65,88.8,361.8
300,3.89,29.0,181.4,31,450.4,269.0,1.67,90.7,359.7
350,4.53,30.0,186.3,36,450.3,264.0,1.71,93.2,357.2
400,5.18,31.0,191.2,43,448.2,257.0,1.74,95.6,352.6
450,5.83,31.6,193.6,51,442.6,249.0,1.78,96.8,345.8
500,6.48,32.5,197.8,58,439.8,242.0,1.82,98.9,340.9
550,7.12,33.0,199.4,66,433.4,234.0,1.85,99.7,333.7
600,7.77,33.2,199.2,74,425.2,226.0,1.88,99.6,325.6
650,8.42,34.0,202.6,81,421.6,219.0,1.93,101.3,320.3
700,9.07,34.2,202.3,89,413.3,211.0,1.96,101.2,312.2
750,9.72,34.5,202.7,99,403.7,201.0,2.01,101.3,302.3
800,10.36,34.7,202.4,104,398.4,196.0,2.03,101.2,297.2
850,11.01,35.0,202.6,112,390.6,188.0,2.08,101.3,289.3
900,11.66,35.2,202.3,118,384.3,182.0,2.11,101.2,283.2
950,12.31,35.2,200.8,124,376.8,176.0,2.14,100.4,276.4
1000,12.95,35.5,201.1,129,372.1,171.0,2.18,100.5,271.5
1050,13.60,35.7,200.7,135,365.7,165.0,2.22,100.3,265.3
1100,14.25,35.8,199.7,140,359.7,160.0,2.25,99.9,259.9
1150,14.90,35.9,198.8,145,353.8,155.0,2.28,99.4,254.4
1200,15.54,36.0,197.8,147,350.8,153.0,2.29,98.9,251.9
0,,,,,,,,,
50,0.64,2.2,14.0,1.3,114.0,100.0,1.14,7.0,107.0
100,1.27,7.0,44.5,1.5,144.5,100.0,1.45,22.3,122.3
150,1.91,9.5,60.0,1.4,160.0,100.0,1.60,30.0,130.0
200,2.54,11.0,69.1,1.6,169.1,100.0,1.69,34.6,134.6
250,3.18,12.0,75.4,2.13,175.4,100.0,1.75,37.7,137.7
300,3.81,12.8,79.9,2.19,179.9,100.0,1.80,40.0,140.0
350,4.45,13.0,80.7,2.24,180.7,100.0,1.81,40.3,140.3
400,5.09,13.3,82.0,2.28,182.0,100.0,1.82,41.0,141.0
450,5.72,13.8,85.5,3.32,185.5,100.0,1.86,42.8,142.8
500,6.36,14.7,90.6,3.38,190.6,100.0,1.91,45.3,145.3
550,6.99,14.7,91.0,4.42,191.0,100.0,1.91,45.5,145.5
600,7.63,14.7,90.4,4.44,190.4,100.0,1.90,45.2,145.2
650,8.26,14.4,88.0,4.48,188.0,100.0,1.88,44.0,144.0
700,8.90,14.0,86.0,5.50,186.0,100.0,1.86,43.0,143.0
750,9.53,14.0,85.4,5.52,185.4,100.0,1.85,42.7,142.7
800,10.17,14.0,84.8,5.56,184.8,100.0,1.85,42.4,142.4
850,10.81,13.8,83.0,5.55,183.0,100.0,1.83,41.5,141.5
900,,,,,,,,,
950,,,,,,,,,
1000,,,,,,,,,
1050,,,,,,,,,
1100,,,,,,,,,
1150,,,,,,,,,
1200,,,,,,,,,
0,,,,,,,,,
50,0.64,0.1,0.7,1.2,200.7,200.0,1.00,0.3,200.3
100,1.29,1.8,11.7,1.2,211.7,200.0,1.06,5.9,205.9
150,1.93,3.2,20.7,1.3,220.7,200.0,1.10,10.4,210.4
200,2.58,14.7,95.0,1.7,295.0,200.0,1.48,47.5,247.5
250,3.22,17.2,111.0,2.13,311.0,200.0,1.56,55.5,255.5
300,3.87,19.0,121.9,2.18,321.9,200.0,1.61,61.0,261.0
